,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Oklahoma City Thunder,2009,regular,1,2009-10-28,0,Sacramento Kings,
1,Oklahoma City Thunder,2009,regular,2,2009-10-30,1,Detroit Pistons,
2,Oklahoma City Thunder,2009,regular,3,2009-11-01,0,Portland Trail Blazers,
3,Oklahoma City Thunder,2009,regular,4,2009-11-03,0,Los Angeles Lakers,OT
4,Oklahoma City Thunder,2009,regular,5,2009-11-06,1,Houston Rockets,
5,Oklahoma City Thunder,2009,regular,6,2009-11-08,0,Orlando Magic,
6,Oklahoma City Thunder,2009,regular,7,2009-11-10,1,Sacramento Kings,
7,Oklahoma City Thunder,2009,regular,8,2009-11-11,1,Los Angeles Clippers,
8,Oklahoma City Thunder,2009,regular,9,2009-11-14,1,San Antonio Spurs,
9,Oklahoma City Thunder,2009,regular,10,2009-11-15,0,Los Angeles Clippers,
10,Oklahoma City Thunder,2009,regular,11,2009-11-17,1,Miami Heat,
11,Oklahoma City Thunder,2009,regular,12,2009-11-18,1,Orlando Magic,
12,Oklahoma City Thunder,2009,regular,13,2009-11-20,0,Washington Wizards,
13,Oklahoma City Thunder,2009,regular,14,2009-11-22,1,Los Angeles Lakers,
14,Oklahoma City Thunder,2009,regular,15,2009-11-24,1,Utah Jazz,
15,Oklahoma City Thunder,2009,regular,16,2009-11-27,0,Milwaukee Bucks,
16,Oklahoma City Thunder,2009,regular,17,2009-11-29,0,Houston Rockets,
17,Oklahoma City Thunder,2009,regular,18,2009-12-02,0,Philadelphia 76ers,
18,Oklahoma City Thunder,2009,regular,19,2009-12-04,0,Boston Celtics,
19,Oklahoma City Thunder,2009,regular,20,2009-12-07,0,Golden State Warriors,
20,Oklahoma City Thunder,2009,regular,21,2009-12-11,1,Memphis Grizzlies,
21,Oklahoma City Thunder,2009,regular,22,2009-12-13,0,Cleveland Cavaliers,
22,Oklahoma City Thunder,2009,regular,23,2009-12-14,1,Denver Nuggets,
23,Oklahoma City Thunder,2009,regular,24,2009-12-16,0,Dallas Mavericks,
24,Oklahoma City Thunder,2009,regular,25,2009-12-18,0,Detroit Pistons,
25,Oklahoma City Thunder,2009,regular,26,2009-12-19,1,Houston Rockets,
26,Oklahoma City Thunder,2009,regular,27,2009-12-22,1,Los Angeles Lakers,
